File Name,ObjectID,GlobalId,type,Name,Description,ObjectType,Floor,Building,Material,Volume (m³),Surface Area (m²),Top Elevation (m),Bottom Elevation (m),Centroid X (m),Centroid Y (m),Centroid Z (m),Min X (m),Max X (m),Min Y (m),Max Y (m),Area,CrossSectionArea,Depth,ExtendToStructure,GrossArea,GrossFootprintArea,GrossSideArea,GrossVolume,Height,IsExternal,Length,LoadBearing,NetArea,NetSideArea,NetVolume,OuterSurfaceArea,Perimeter,PitchAngle,Reference,Slope,Span,TypeDefinition_Basiswand,TypeDefinition_Geländer,TypeDefinition_Geschossdecke,TypeDefinition_NWA_FA_Aussenstütze,TypeDefinition_NWA_FA_Aussenstütze_Attika,TypeDefinition_NWA_FA_Aussenstütze_Attika_Ecke,TypeDefinition_NWA_FA_Aussenstütze_Ecke,TypeDefinition_NWA_FA_FE_Holz-Metall,TypeDefinition_NWA_FA_FE_Holz-Metall_Erweiterung,TypeDefinition_NWA_FA_FE_Holz-Metall_Erweiterung_Oeffenbar,TypeDefinition_NWA_FA_Paneel_Brise-solei-West,TypeDefinition_NWA_FA_Paneel_Brise-solei_tiefer,TypeDefinition_NWA_FA_Paneel_Brise-soleil,TypeDefinition_NWA_FA_Paneel_Brise-soleil-Stütze,TypeDefinition_NWA_FA_Paneel_Brüstung_EG,TypeDefinition_NWA_FA_Paneel_Brüstung_RG,TypeDefinition_NWA_FA_Panel_Einfach,TypeDefinition_NWA_FA_Panel_Fenster,TypeDefinition_NWA_FA_Panel_Schichten,TypeDefinition_NWA_FA_Panel_Schichten_EIngang,TypeDefinition_NWA_FA_Panel_Schichten_HRL,TypeDefinition_NWA_FA_WDM,TypeDefinition_NWA_Holz_Rechteckigestütze,TypeDefinition_NWA_Pfosten_Life-Line,TypeDefinition_NWA_TOR_Rollgitter LKW 1,TypeDefinition_NWA_TOR_Rollgittertor,TypeDefinition_NWA_TOR_Schnelllauftor,TypeDefinition_NWA_TOR_Sektionaltor,TypeDefinition_NWA_TOR_Sektionaltor_Typ 2,TypeDefinition_NWA_TRÄ_Massivholz,TypeDefinition_NW_TUR_DRF_BLZ_1FL,TypeDefinition_NW_TUR_DRF_BLZ_2FL,TypeDefinition_NW_TUR_DRF_GLB_1FL_Fassade,TypeDefinition_NW_TUR_SCH_GLB_2FL_Fassade,TypeDefinition_Rechteckiger Pfosten,Width
temp_input.ifc,74025,01XtCSdv98p9GcTH2yJx6s,IfcPlate,NWA_FA_Panel_Fenster:86 PS:3310438,N/A,NWA_FA_Panel_Fenster:86 PS,N/A,N/A,No material assigned,0.05,5.15,3.18,0.75,83.94,-48.12,1.96,83.89,83.98,-48.24,-48.00,,,,,,,,,,False,,,,,0.053543999999982994,,,,86 PS,,,,,,,,,,,,,,,,,,,,86 PS: Pset_PlateCommon,,,,,,,,,,,,,,,,,,
temp_input.ifc,74035,01XtCSdv98p9GcTH2yJx7t,IfcPlate,NWA_FA_Panel_Fenster:86 PS:3310375,N/A,NWA_FA_Panel_Fenster:86 PS,N/A,N/A,No material assigned,0.05,5.15,3.18,0.75,83.94,-45.12,1.96,83.89,83.98,-45.24,-45.00,,,,,,,,,,False,,,,,0.053543999999982994,,,,86 PS,,,,,,,,,,,,,,,,,,,,86 PS: Pset_PlateCommon,,,,,,,,,,,,,,,,,,
temp_input.ifc,74080,2okO_a4g5ECB$gZljfpu7S,IfcPlate,NWA_FA_Panel_Fenster:86 PS:2996968,N/A,NWA_FA_Panel_Fenster:86 PS,N/A,N/A,No material assigned,0.01,0.99,3.48,3.18,83.94,-54.18,3.33,83.89,83.98,-54.36,-54.00,,,,,,,,,,False,,,,,0.009935999999997586,,,,86 PS,,,,,,,,,,,,,,,,,,,,86 PS: Pset_PlateCommon,,,,,,,,,,,,,,,,,,
temp_input.ifc,74124,01XtCSdv98p9GcTH2yJxRR,IfcPlate,NWA_FA_Panel_Fenster:86 PS:3310603,N/A,NWA_FA_Panel_Fenster:86 PS,N/A,N/A,No material assigned,0.08,7.19,3.48,3.18,83.94,-52.62,3.33,83.89,83.98,-54.00,-51.24,,,,,,,,,,False,,,,,0.0761759999999807,,,,86 PS,,,,,,,,,,,,,,,,,,,,86 PS: Pset_PlateCommon,,,,,,,,,,,,,,,,,,
temp_input.ifc,74168,01XtCSdv98p9GcTH2yJx4J,IfcPlate,NWA_FA_Panel_Fenster:86 PS:3310531,N/A,NWA_FA_Panel_Fenster:86 PS,N/A,N/A,No material assigned,0.01,0.68,3.48,3.18,83.94,-51.12,3.33,83.89,83.98,-51.24,-51.00,,,,,,,,,,False,,,,,0.006623999999997897,,,,86 PS,,,,,,,,,,,,,,,,,,,,86 PS: Pset_PlateCommon,,,,,,,,,,,,,,,,,,
temp_input.ifc,74178,2okO_a4g5ECB$gZljfpu7T,IfcPlate,NWA_FA_Panel_Fenster:86 PS:2996969,N/A,NWA_FA_Panel_Fenster:86 PS,N/A,N/A,No material assigned,0.08,7.19,3.48,3.18,83.94,-49.62,3.33,83.89,83.98,-51.00,-48.24,,,,,,,,,,False,,,,,0.0761759999999807,,,,86 PS,,,,,,,,,,,,,,,,,,,,86 PS: Pset_PlateCommon,,,,,,,,,,,,,,,,,,
temp_input.ifc,74188,01XtCSdv98p9GcTH2yJx6t,IfcPlate,NWA_FA_Panel_Fenster:86 PS:3310439,N/A,NWA_FA_Panel_Fenster:86 PS,N/A,N/A,No material assigned,0.01,0.68,3.48,3.18,83.94,-48.12,3.33,83.89,83.98,-48.24,-48.00,,,,,,,,,,False,,,,,0.006623999999997897,,,,86 PS,,,,,,,,,,,,,,,,,,,,86 PS: Pset_PlateCommon,,,,,,,,,,,,,,,,,,
temp_input.ifc,74198,2okO_a4g5ECB$gZljfpu7U,IfcPlate,NWA_FA_Panel_Fenster:86 PS:2996970,N/A,NWA_FA_Panel_Fenster:86 PS,N/A,N/A,No material assigned,0.08,7.19,3.48,3.18,83.94,-46.62,3.33,83.89,83.98,-48.00,-45.24,,,,,,,,,,False,,,,,0.0761759999999807,,,,86 PS,,,,,,,,,,,,,,,,,,,,86 PS: Pset_PlateCommon,,,,,,,,,,,,,,,,,,
temp_input.ifc,74208,01XtCSdv98p9GcTH2yJx7u,IfcPlate,NWA_FA_Panel_Fenster:86 PS:3310376,N/A,NWA_FA_Panel_Fenster:86 PS,N/A,N/A,No material assigned,0.01,0.68,3.48,3.18,83.94,-45.12,3.33,83.89,83.98,-45.24,-45.00,,,,,,,,,,False,,,,,0.006623999999997897,,,,86 PS,,,,,,,,,,,,,,,,,,,,86 PS: Pset_PlateCommon,,,,,,,,,,,,,,,,,,
temp_input.ifc,74252,2okO_a4g5ECB$gZljfpu7V,IfcPlate,NWA_FA_Panel_Fenster:86 PS:2996971,N/A,NWA_FA_Panel_Fenster:86 PS,N/A,N/A,No material assigned,0.08,7.70,3.48,3.18,83.94,-43.52,3.33,83.89,83.98,-45.00,-42.04,,,,,,,,,,False,,,,,0.08164079997648235,,,,86 PS,,,,,,,,,,,,,,,,,,,,86 PS: Pset_PlateCommon,,,,,,,,,,,,,,,,,,
